new value: 4
### Running wrk with 5 cores and 16 client threads, 64 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 7.867 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 7.389 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 6.951 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 6.179 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 4.515 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 5.361 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 5.447 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 5.369 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 4.683 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 4.897 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 4KB value size for 12 seconds with mtu 4000
throughput: 4.878 Gbps
new value: 8
### Running wrk with 5 cores and 16 client threads, 64 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 7.49 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 8.829 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 9.232 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 9.454 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 8.033 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 9.235 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 9.475 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 9.774 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 8.842 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 9.196 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 8KB value size for 12 seconds with mtu 4000
throughput: 9.212 Gbps
new value: 16
### Running wrk with 5 cores and 16 client threads, 64 connections and 16KB value size for 12 seconds with mtu 4000
throughput: 14.918 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 16KB value size for 12 seconds with mtu 4000
throughput: 17.755 Gbps
