new value: 4
### Running wrk with 8 cores and 16 client threads, 64 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 5.823 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 5.898 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 5.445 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 4.883 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 4.044 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 4.229 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 4.036 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 4.213 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 3.998 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 3.97 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 4KB value size for 12 seconds with mtu 9000
throughput: 3.596 Gbps
new value: 8
### Running wrk with 8 cores and 16 client threads, 64 connections and 8KB value size for 12 seconds with mtu 9000
throughput: 6.013 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 8KB value size for 12 seconds with mtu 9000
throughput: 6.498 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 8KB value size for 12 seconds with mtu 9000
throughput: 6.789 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 8KB value size for 12 seconds with mtu 9000
throughput: 6.741 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 8KB value size for 12 seconds with mtu 9000
throughput: 6.384 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 8KB value size for 12 seconds with mtu 9000
