new value: 4
### Running wrk with 8 cores and 16 client threads, 32 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 6.624 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 8.287 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 7.854 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 6.463 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 5.518 Gbps
### Running wrk with 8 cores and 16 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 4.662 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 4.037 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 3.98 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 4.124 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 3.803 Gbps
### Running wrk with 8 cores and 32 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 3.132 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 3.044 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 3.177 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 3.051 Gbps
### Running wrk with 8 cores and 64 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 2.879 Gbps
### Running wrk with 8 cores and 128 client threads, 256 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 2.936 Gbps
### Running wrk with 8 cores and 128 client threads, 512 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 2.692 Gbps
### Running wrk with 8 cores and 128 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 2.729 Gbps
### Running wrk with 8 cores and 256 client threads, 512 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 2.773 Gbps
### Running wrk with 8 cores and 256 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 4000
throughput: 2.691 Gbps
new value: 8
### Running wrk with 8 cores and 16 client threads, 32 connections and 8KB value size for 8 seconds with mtu 4000
throughput: 3.974 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 8KB value size for 8 seconds with mtu 4000
throughput: 4.245 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 8KB value size for 8 seconds with mtu 4000
throughput: 4.573 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 8KB value size for 8 seconds with mtu 4000
throughput: 4.787 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 8KB value size for 8 seconds with mtu 4000
